ID,SMILES,Kd,IC50,erk_IC50
646_7,CCc1cccc2cc(O)cc(N3CCc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,0.9,12.5
US_281,C#Cc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,0.9,97.8
US_426,CCc1c(F)ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,,0.9,228.0
US_433,CCc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4c3F)c12,,0.9,43.2
625_21,N#Cc1ccccc1Oc1cc2c(N3C[C@H]4CC[C@@H](C3)N4)nc(OCC34CCCN3CCC4)nc2cc1-c1cc(O)cc2ccccc12,,1.0,1269.0
646_47,Oc1cc(N2CCc3c(nc(OCC45CCCN4CC(F)C5)nc3N3C[C@H]4CC[C@@H](C3)N4)C2)c2ccccc2c1,,1.0,537.0
646_62,Fc1ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c2c1Cl,8.1,1.0,1936.0
US_410,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](OC)C6)nc4c3F)c12,,1.0,8.0
US_430,Fc1ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c2c1F,,1.0,141.0
US_465,CCc1cccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,1.0,
US_98,Fc1ccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c2c1Cl,,1.0,388.6
31678_34,CCc1cccc2cc(O)cc(-c3ncc4c(NCC5(N(C)C)CCCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,1.1,
31678_43,CCc1cccc2cc(O)cc(-c3ncc4c(NCC5(N(C)C)CCC5)nc(OC[C@]56CCCN5[C@@H](COC(=O)N(C)C)CC6)nc4c3F)c12,,1.1,53.5
31678_57,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(NCC5(N(C)C)CCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,1.1,
646_10,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.1,738.0
646_14,CCc1cccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.1,21.0
646_23,CCc1cccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5C(CF)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.1,119.0
paper_38,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,,1.15,10.55
646_28,CN1CCC[C@H]1COc1nc2c(c(N3C[C@H]4CC[C@@H](C3)N4)n1)CCN(c1cc(O)cc3cccc(Cl)c13)C2,1000000.0,1.2,361.0
646_97,CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)N5CCOCC5)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.2,187.0
paper_37,Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)cccc2c1,,1.2,85.4
US_205,C#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5C[C@@H](F)C6)nc4c3F)c12,,1.2,242.1
US_235,Fc1c(-c2cccc3cccc(Br)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,,1.2,338.6
paper_21,Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2ccccc2c1,500000.0,1.25,300.25
paper_36,C#Cc1c(F)ccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,,1.25,24.05
625_19,CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3Cl)c(-c3cc(O)cc4ccccc34)cc2n1,,1.3,1705.0
646_13,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5C(COC(=O)N(C)C)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.3,261.0
US_452,C[C@@H]1C[C@H]1c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,,1.33,46.0
US_330,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,,1.35,11.05
625_24,CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)c(F)c2n1,,1.4,377.0
625_5,Oc1cc(-c2ccc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,,1.4,42.0
US_389,COC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cc(O)cc6ccccc56)c(F)c4n3)CCCN12,,1.4,780.7
US_431,CCc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N5CCOCC5)CC6)nc4c3F)c12,,1.4,74.3
US_468,CCc1cccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@]56CCCN5C[C@@H](F)C6)nc4c3F)c12,,1.4,16.35
paper_1,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,0.0002,1.47,2.07
646_67,CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5C(CC5CS(=O)(=O)CCN5C(=O)O)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.5,150.0
US_263,CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,,1.5,7641.0
625_20,CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)cc2n1,,1.6,2156.0
646_119,CCc1c(F)ccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.6,7.0
US_279,C#CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,,1.6,7401.8
US_291,CC(C)c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,,1.6,46.5
US_31,CN1CCC[C@H]1COc1nc(N2CC3C[C@@H](O)C(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,,1.6,2425.6
US_373,Oc1ccc(C(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1,,1.6,16666.7
625_22,N#Cc1ccccc1Oc1cc2c(N3C[C@H]4CC[C@H](C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2cc1-c1cc(O)cc2ccccc12,,1.7,140.0
US_375,Oc1ccc(C(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1,,1.7,1310.3
paper_25,Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2ccccc2c1,1.7,1.74,58.4
625_29,CN1C[C@H](F)C[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1,5.0,1.8,779.0
646_18,CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.8,106.0
646_19,CCc1c(F)ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,1.8,324.0
US_403,CC(C)c1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,,1.9,2881.0
US_432,CCc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4c3F)c12,,1.9,106.3
646_107,CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@H](OC(=O)N(CC)CCO)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,2.0,408.0
